architecture_num,avg
0,0.55705
1,0.5382499999523163
2,0.5655499983787536
3,0.5580499987125397
4,0.5569499985694886
5,0.5474999988079071
6,0.5551499976634979
7,0.5599499981403351
8,0.5769500000476837
9,0.5635999995708465
10,0.5732499972343446
11,0.5622
12,0.5449999989509582
13,0.546649999332428
14,0.5537499989986421
15,0.5621499989509583
16,0.5583999979496002
17,0.5633499982357024
18,0.566949999666214
19,0.5252999998569488
20,0.5309500001430512
21,0.5429499994754792
22,0.5590999972820283
23,0.5501499997138977
24,0.5462999989509583
25,0.5710999996185302
26,0.5627999987125396
27,0.5547999983787537
28,0.5588499973773957
29,0.5436499992847443
30,0.5408499995231628
31,0.5701999993324279
32,0.5495999992370606
33,0.5622499971866608
34,0.554799998664856
35,0.5594499990463258
36,0.5319499983787537
37,0.5358499987602234
38,0.5756499969482423
39,0.5728499994277954
40,0.5352999992370606
41,0.5433999991416931
42,0.5352000007152558
43,0.5754499981880188
44,0.5516999987602234
45,0.5641999980926513
46,0.5623999984264374
47,0.5434000002861024
48,0.5695999994754792
49,0.5613999996185303
50,0.5357499997615813
51,0.5678999994277955
52,0.5459000000953674
53,0.5533999999523163
54,0.5626999985218049
55,0.5285999993801117
56,0.5526999985694885
57,0.549649997806549
58,0.5485500002861023
59,0.5656500000476837
60,0.5476499989509582
61,0.5670499984741211
62,0.5680999992370606
63,0.5517499988555908
64,0.5469999980449677
65,0.5496999997138977
66,0.558599999666214
67,0.5436499996185302
68,0.5571499989986419
69,0.5649000000953674
70,0.5682999974727629
71,0.5472000006198883
72,0.5795999990463256
73,0.5657500004291535
74,0.5527999989509582
75,0.5646499987602234
76,0.535250000667572
77,0.5463499998569489
78,0.5307999998569488
79,0.5566999977588654
80,0.5386000006675721
81,0.542650001192093
82,0.5702999992847443
83,0.5460000005722045
84,0.5396000004768372
85,0.5602499986171723
86,0.5624499983310699
87,0.5481999990940094
88,0.5449499979972839
89,0.5463499985218048
90,0.5148999979019165
91,0.5535999990940094
92,0.5419999979019166
93,0.5611499976634979
94,0.5451000004291535
95,0.5313999989032745
96,0.5450999976634979
97,0.5584499974250794
98,0.57174999833107
99,0.5642499980926514
100,0.5552999986171723
101,0.5528999972343445
102,0.5601499999046325
103,0.5414999994754791
104,0.5526999996662141
105,0.55035
106,0.5471999990940094
107,0.5451500001907348
108,0.5545999975204468
109,0.5420999994277954
110,0.5608999985218048
111,0.5509499979496002
112,0.5620499998092652
113,0.5555499990940094
114,0.5751000002384186
115,0.575849999332428
116,0.5607999971866608
117,0.5217499990463257
118,0.5479999998569489
119,0.562699998664856
120,0.5558499988555908
121,0.5213000010967255
122,0.536250000667572
123,0.5664499983787536
124,0.5641499984264373
125,0.5581499977588653
126,0.5204999976634979
127,0.5210499995946885
128,0.5455500002861023
129,0.5616499984264374
130,0.5614999982833863
131,0.5282999989986419
132,0.5387999981403351
133,0.5407499994754792
134,0.5647999995231628
135,0.5601499986648559
136,0.5513999998569489
137,0.5644499987125396
138,0.5290999978065491
139,0.5593999980926514
140,0.5509000004768372
141,0.5527499997615815
142,0.5509499996662139
143,0.5579999998569489
144,0.5568999974727631
145,0.5671999993324279
146,0.5402500001430511
147,0.5543999988079071
148,0.5563499986171723
149,0.5577499997615813
150,0.5666999980449676
151,0.5481999989032745
152,0.5632999986648559
153,0.5585999982833862
154,0.5683499969005585
155,0.5688499982833862
156,0.5613499976634979
157,0.5382500001430511
158,0.5574499991416931
159,0.517899998140335
160,0.5586499970912934
161,0.5457000002384186
162,0.5618499974250794
163,0.5542999989032745
164,0.56589999833107
165,0.5477999989509583
166,0.5647500006675721
167,0.5709500000000001
168,0.5455500007629395
169,0.5218499983310699
